signal_date,ticker,name,light,rebound,base_q,exit_reason,exit_price,ret,days_held,entry
2023-12-26,1806.TW,冠軍,yellow,0.5715100844528024,0.8440356287098078,停損,9.892436981201172,-0.0867010326321119,10,10.762604683688599
2023-12-26,2347.TW,聯強,yellow,1.0,0.813353556249178,賣壓比例,70.02559799069849,0.09013311519140457,116,63.89295329469476
2023-12-26,2408.TW,南亞科,yellow,0.7169372192848493,0.736572830812525,停損,71.66965649537208,-0.08287183086900538,10,77.65043518077002
2023-12-26,2546.TW,根基,yellow,1.0,0.5108500720229341,賣壓比例,66.23071531068055,-0.033350015394893885,20,68.10356437956575
2023-12-26,2596.TWO,綠意,yellow,1.0,0.7605405410747926,賣壓比例,29.824928283691406,0.2810351924266471,53,23.17605988413876
2023-12-26,3346.TW,麗清,yellow,0.769522706130896,0.6523741078599045,停損,46.48711846041003,-0.0905347569248944,6,50.78809602714718
2023-12-26,6679.TWO,鈺太,yellow,1.0,0.5306562157538003,停損,401.3943567520533,-0.09303493871633492,4,439.7323990114538
2023-12-26,6683.TWO,雍智科技,yellow,0.7308285073184991,0.6940425945755262,停損,277.49904747206926,-0.08471445628223481,7,301.2575612401888
2023-12-27,8487.TW,愛爾達-創,yellow,1.0,0.011630328188834027,賣壓比例,49.240535736083984,-0.0645913160142024,20,52.3134995446448
2023-12-28,2107.TW,厚生,yellow,0.9067871955146654,0.9057874378340053,賣壓比例,20.178656021898306,-0.04836010434741387,20,21.074536779466854
2023-12-28,3024.TW,憶聲,yellow,1.0,0.7354510124035394,停損,17.623619079589844,-0.07945410585426513,10,19.023852751248707
2023-12-28,6187.TWO,萬潤,yellow,1.0,0.4180327015799272,賣壓比例,242.9268341064453,0.6810186992678019,52,144.01051736385264
2023-12-29,2377.TW,微星,yellow,1.0,0.6035430412427565,停損,175.64494569839968,-0.08653459902314928,3,191.06059303669014
2023-12-29,2501.TW,國建,yellow,0.5392900499566876,0.8792980085423971,賣壓比例,16.801579618869965,-0.016660876259472192,40,16.9852045636494
2023-12-29,3008.TW,大立光,yellow,0.4571606079565826,0.7516042367691272,停損,2384.5962216872576,-0.09675904561064905,4,2623.055713153613
2023-12-29,3188.TWO,鑫龍騰,yellow,1.0,0.7778895966580297,賣壓比例,25.54856349615308,0.8789121087175026,97,13.555325299667526
2023-12-29,6715.TW,嘉基,yellow,1.0,0.7271738576672259,停損,145.23076391370515,-0.08620716683665527,5,157.92083478120207
2023-12-29,9926.TW,新海,yellow,1.0,0.8809922796724841,賣壓比例,50.50945158097029,-0.013135969185845121,9,50.880162879883905
2024-01-02,4113.TWO,聯上,yellow,1.0,0.318736488230134,賣壓比例,36.74129887631065,0.20651131810594806,53,30.30556842056869
2024-01-02,4506.TWO,崇友,yellow,1.0,0.8102072594770457,賣壓比例,99.85841175426137,0.2969244507235759,99,76.6505757760285
2024-01-02,4555.TW,氣立,yellow,1.0,0.8761881799247668,賣壓比例,62.16118708678468,0.048426321477209065,53,58.96100085003043
2024-01-02,5533.TW,皇鼎,yellow,1.0,0.7992541196424185,提前停損,20.27358627319336,-0.08340108912726449,23,21.978004455566406
2024-01-02,6223.TWO,旺矽,yellow,1.0,0.26648650318025435,賣壓比例,304.4399719238281,0.35798435315737753,50,223.22356906396075
2024-01-02,9934.TW,成霖,yellow,0.69713989619113,0.8332375660788738,停損,13.75304985767935,-0.10818913728727939,7,15.320986386905401
2024-01-03,3030.TW,德律,yellow,1.0,0.9102352742704166,賣壓比例,156.2508579799107,1.5521335920369619,117,61.08360447124125
2024-01-03,3158.TWO,嘉實,yellow,1.0,0.8163736453343404,賣壓比例,83.4640926001383,0.16373385865245807,97,71.36221313476562
2024-01-03,3543.TW,州巧,yellow,0.5587045722434806,0.8489565463509045,賣壓比例,21.99359495304256,-0.018221159103878427,41,22.269089401122336
2024-01-03,5212.TWO,凌網,yellow,0.6278217962638759,0.7743619740750265,賣壓比例,56.17604331975992,0.2787966285528086,91,43.728790525877024
2024-01-03,6117.TW,迎廣,yellow,1.0,0.0,停損,70.36781446317582,-0.10246234581780087,17,77.89326557365564
2024-01-03,6270.TWO,倍微,yellow,1.0,0.8607201015948448,提前停損,21.82777235376362,-0.08569791689075842,39,23.721918098589146
2024-01-04,2520.TW,冠德,yellow,1.0,0.7470499448389023,賣壓比例,31.781741338790532,-0.042099959943990274,21,32.97716214563632
2024-01-04,2536.TW,宏普,yellow,1.0,0.7806792300806563,賣壓比例,26.367861923551807,-0.017382173823239123,14,26.675488291347406
2024-01-04,3171.TWO,新洲,yellow,0.879006162954906,0.8232017214036949,賣壓比例,31.942982314009555,-0.04376474827678576,3,33.20182099953794
2024-01-05,2442.TW,新美齊,yellow,1.0,0.5066380920173514,賣壓比例,22.727417211944903,-0.07992408699333506,8,24.54561093138054
2024-01-05,4771.TW,望隼,yellow,1.0,0.3767650967211871,賣壓比例,276.7527650077388,0.14784264411920392,65,239.88431097177357
2024-01-05,5225.TW,東科-KY,yellow,1.0,0.20524545408681294,停損,54.00970081258819,-0.09292484553591915,3,59.16114869711722
2024-01-05,6113.TWO,亞矽,yellow,1.0,0.6055312577152101,停損,26.11175654175886,-0.07611140478273845,4,28.085051729682213
2024-01-05,6531.TW,愛普*,yellow,0.8466865558417638,0.37586319723258976,賣壓比例,449.3648950534397,-0.05524518788662811,26,472.71472785248966
2024-01-08,3150.TW,鈺寶-創,yellow,1.0,0.7532139964065994,賣壓比例,53.91957620796019,0.39856178187992974,38,38.392996202142406
2024-01-08,4419.TWO,元勝,yellow,1.0,0.1369947804465651,停損,36.20000076293945,-0.09170853136846877,11,39.599998474121094
2024-01-08,9906.TW,欣巴巴,yellow,0.904342962923718,0.8094989060965175,賣壓比例,75.92520483890019,0.4607053179124575,92,51.77111556008306
2024-01-09,2460.TW,建通,yellow,0.6189922340086345,0.5836389334472761,賣壓比例,33.75,0.08992924792250725,43,30.799999237060547
2024-01-09,3055.TW,蔚華科,yellow,1.0,0.6157231961670135,賣壓比例,69.15404338067385,0.5376280319660068,49,44.80403475039344
